[2024-09-24 14:42:01,664] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :46dbd5e2-53a9-493f-b41b-5a2e85440319
[2024-09-24 14:42:01,665] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:42:02,825] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:42:02,825] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:42:02,825] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:42:02,826] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:42:04,051] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :0fdda126-cf76-4aad-9bd2-5f2866751428
[2024-09-24 14:42:04,052] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:42:05,255] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:42:05,255] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:42:05,255] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:42:05,255] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:42:06,437] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :63fa75db-f0b1-4d0b-9fc7-4bd5879eab34
[2024-09-24 14:42:06,438] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:42:07,560] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:42:07,561] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:42:07,561] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:42:07,561] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:42:08,694] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :de99dbe5-e9f4-45af-ac06-663aa6055583
[2024-09-24 14:42:08,696] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:42:09,811] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:42:09,811] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:42:09,811] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:42:09,811] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:42:10,928] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :b0902e01-e5ca-4031-937b-9c1779620490
[2024-09-24 14:42:10,930] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:42:12,095] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:42:12,095] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:42:12,096] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:42:12,096] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:42:13,247] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :5243a33e-6a37-4b22-8a99-5472807f4e98
[2024-09-24 14:42:13,248] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:42:14,421] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:42:14,421] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:42:14,421] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:42:14,421] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:42:15,670] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :9ffa83b1-2032-4145-b3be-1b096aed8ee3
[2024-09-24 14:42:15,671] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:42:16,821] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:42:16,821] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:42:16,821] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:42:16,822] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:42:17,943] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :bd33a71f-5427-410f-8bde-68b2dd3b1079
[2024-09-24 14:42:17,944] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the user information*****
[2024-09-24 14:42:19,051] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Getting the status code*****
[2024-09-24 14:42:19,051] [INFO ] [main] apiTestCases.ValidateUserInfoTest -The response code is 429
[2024-09-24 14:42:19,051] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the status code*****
[2024-09-24 14:42:19,051] [INFO ] [main] apiTestCases.ValidateUserInfoTest -*****Validating the user information*****
[2024-09-24 14:42:20,239] [ERROR] [main] apiTestCases.ValidateUserInfoTest -Error in validating the user information. Request ID is :b2571bd8-5238-4a14-bbd5-aa0c481ff046
